"TimeCreated","LevelDisplayName","ProviderName","Id","Message"
"20/8/2025 7:52:07 p. m.","Información","Microsoft-Windows-Kernel-Power","105","Cambio de fuente de energía."
"20/8/2025 7:51:07 p. m.","Información","Microsoft-Windows-Kernel-General","16","El historial de accesos en el subárbol \??\C:\ProgramData\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\S-1-5-21-72991934-2165796093-3938425774-1001\SystemAppData\Helium\Cache\e59fd33af7a9be35_COM15.dat se borró mediante la actualización de 1 claves y la creación de 1 páginas modificadas."
"20/8/2025 7:27:11 p. m.","Información","Microsoft-Windows-IsolatedUserMode","2","Secure Trustlet Id 6 and Pid 25112 stopped with status STATUS_SUCCESS."
"20/8/2025 7:20:10 p. m.","Información","Microsoft-Windows-IsolatedUserMode","1","Secure Trustlet \??\C:\WINDOWS\System32\NgcIso.exe Id 6 and Pid 25112 started with status STATUS_SUCCESS."
"20/8/2025 7:20:10 p. m.","Información","Microsoft-Windows-IsolatedUserMode","5","Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS."
"20/8/2025 7:17:12 p. m.","Información","nhi","9007","The driver entered RTD3.
 All the connected devices will be removed from driver's internal state, so it is expected that DeviceDisconnected events will happen."
"20/8/2025 7:17:07 p. m.","Información","nhi","9008","Driver exit RTD3.
 All the connected devices will now cause DeviceConnected events."
"20/8/2025 7:15:35 p. m.","Advertencia","Netwtw10","6062","6062 - Lso was triggered"
"20/8/2025 7:15:33 p. m.","Información","Netwtw10","7021","7021 - Connection telemetry fields and analysis usage"
"20/8/2025 7:15:33 p. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 71 a 73.

Motivo PolicyChange 

BootId: 16"
"20/8/2025 7:15:33 p. m.","Información","Microsoft-Windows-Kernel-Power","507","El sistema está saliendo del modo de espera moderno 

motivo: Lid. "
"20/8/2025 7:15:32 p. m.","Advertencia","Win32k","701","Administrador de energía no solicitó la supresión de todas las entradas (INPUT_SUPPRESS_REQUEST = 0)"
"20/8/2025 7:15:32 p. m.","Advertencia","Win32k","701","Administrador de energía no solicitó la supresión de todas las entradas (INPUT_SUPPRESS_REQUEST = 0)"
"20/8/2025 7:15:32 p. m.","Información","Microsoft-Windows-Kernel-Power","506","El sistema está entrando en el modo de espera moderno 

motivo: AC/DC Display Burst Suppressed. "
"20/8/2025 7:15:32 p. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 70 a 71.

Motivo InputMouse 

BootId: 16"
"20/8/2025 7:15:32 p. m.","Información","Microsoft-Windows-Kernel-Power","507","El sistema está saliendo del modo de espera moderno 

motivo: AC/DC Display Burst Suppressed. "
"20/8/2025 7:15:32 p. m.","Información","Microsoft-Windows-Kernel-Power","172","Estado de conectividad en modo de espera: Connected. Motivo: None"
"20/8/2025 7:15:31 p. m.","Información","Netwtw10","7026","7026 - Dump after return from D3 after cmd"
"20/8/2025 7:15:31 p. m.","Información","Netwtw10","7025","7025 - Dump after return from D3 before cmd "
"20/8/2025 7:15:31 p. m.","Información","Microsoft-Windows-Kernel-Power","105","Cambio de fuente de energía."
"20/8/2025 5:53:22 p. m.","Información","Microsoft-Windows-Kernel-Power","172","Estado de conectividad en modo de espera: Disconnected. Motivo: Policy Setting"
"20/8/2025 5:53:14 p. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 69 a 70.

Motivo 55 

BootId: 16"
"20/8/2025 5:53:09 p. m.","Información","Microsoft-Windows-Kernel-Power","506","El sistema está entrando en el modo de espera moderno 

motivo: Austerity Battery Drain Budget Exceeded. "
"20/8/2025 5:53:09 p. m.","Información","Microsoft-Windows-Kernel-Power","566","La sesión del sistema ha cambiado de 68 a 69.

Motivo 55 

BootId: 16"
"20/8/2025 5:53:09 p. m.","Información","Microsoft-Windows-Kernel-Power","507","El sistema está saliendo del modo de espera moderno 

motivo: Austerity Battery Drain Budget Exceeded. "
